"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Patrick Mahomes II","KC","609.8","405.5","4,832.0","37.7","11.2","64.9","356.8","3.2","1.9","383.8"
"","high","644.3","427.0","5,173.6","39.5","9.1","69.0","434.3","3.9","1.0","449.0"
"","low","555.7","374.0","4,467.7","33.1","12.9","59.2","305.9","2.9","3.8","366.5"
"Josh Allen","BUF","575.5","362.9","4,274.9","32.0","14.2","117.0","661.5","6.2","4.2","380.2"
"","high","610.2","387.4","4,555.2","34.0","10.8","129.6","702.0","7.6","2.2","446.5"
"","low","526.4","337.4","4,062.1","30.3","19.0","105.3","591.6","5.0","5.4","370.6"
"Jalen Hurts","PHI","494.8","318.5","3,827.8","23.8","10.1","157.6","801.0","11.0","2.9","378.9"
"","high","531.3","350.3","4,039.4","28.0","8.0","174.0","933.2","15.6","1.0","427.0"
"","low","457.0","291.1","3,518.2","18.8","14.7","141.5","669.7","7.7","4.6","372.3"
"Lamar Jackson","BAL","477.6","303.1","3,463.3","25.5","11.5","148.9","942.9","5.5","3.0","350.4"
"","high","535.0","329.0","3,701.0","28.0","10.0","170.4","1,082.1","7.4","1.5","396.1"
"","low","402.6","263.0","3,090.5","20.1","16.0","130.0","777.0","3.0","4.2","338.6"
"Joe Burrow","CIN","599.0","407.3","4,634.8","33.0","13.1","65.4","274.4","3.9","2.3","350.2"
"","high","634.2","425.1","4,780.5","34.0","11.6","71.0","423.6","5.0","0.6","400.1"
"","low","567.5","391.2","4,513.5","31.0","14.2","56.0","189.0","2.6","3.8","331.3"
"Justin Fields","CHI","408.0","250.9","2,912.3","20.4","12.8","161.3","1,070.2","6.9","3.5","326.7"
"","high","464.0","283.0","3,245.0","23.0","10.0","189.8","1,235.2","8.5","0.7","371.8"
"","low","351.8","213.3","2,626.8","17.3","19.0","139.1","910.3","6.0","5.9","310.4"
"Justin Herbert","LAC","627.8","422.0","4,596.1","30.1","12.7","57.1","220.7","2.0","2.0","321.5"
"","high","689.0","468.0","4,813.2","31.7","11.4","60.3","274.4","3.6","0.4","383.1"
"","low","591.1","397.5","4,318.5","29.0","15.9","54.0","173.0","1.0","3.8","319.6"
"Deshaun Watson","CLE","508.0","326.7","3,872.6","24.8","11.3","96.1","481.9","4.1","1.8","311.9"
"","high","565.0","356.0","4,021.6","28.1","9.0","113.3","546.2","7.0","0.5","339.0"
"","low","474.5","314.2","3,739.8","22.9","18.0","82.0","376.0","2.0","3.4","299.8"
"Kirk Cousins","MIN","592.7","394.9","4,442.0","30.5","12.3","31.6","92.0","1.5","2.8","300.3"
"","high","636.0","429.0","4,617.0","32.3","9.9","41.6","102.1","2.1","0.7","357.2"
"","low","508.2","346.9","4,147.6","28.7","14.0","22.9","63.8","0.9","4.2","285.6"
"Dak Prescott","DAL","550.4","363.1","4,111.0","29.1","13.9","58.0","248.6","2.3","3.1","299.9"
"","high","567.3","371.0","4,218.9","31.5","13.0","65.0","304.6","3.1","1.8","342.9"
"","low","536.6","354.9","3,903.0","26.3","17.0","55.0","199.0","1.0","3.8","292.4"
"Trevor Lawrence","JAC","579.2","378.4","4,085.8","26.6","12.3","62.2","285.1","3.9","5.2","299.3"
"","high","595.9","395.2","4,329.9","30.0","9.1","69.0","311.0","6.8","1.8","348.3"
"","low","566.2","365.5","3,916.7","24.0","14.6","55.8","250.4","2.9","8.0","289.2"
"Daniel Jones","NYG","515.3","335.6","3,474.5","20.8","9.8","109.3","638.6","4.9","4.1","297.4"
"","high","540.9","357.1","3,629.8","22.0","6.0","121.9","750.8","5.7","1.9","335.8"
"","low","501.0","326.0","3,318.0","19.7","11.9","91.1","556.4","4.0","6.9","289.0"
"Geno Smith","SEA","543.4","370.0","4,038.3","27.1","11.3","62.2","323.3","2.0","3.5","295.9"
"","high","589.0","400.0","4,258.9","28.9","8.8","72.0","366.5","4.0","1.6","362.9"
"","low","467.7","328.1","3,649.8","25.2","13.0","55.5","275.9","1.0","4.1","282.2"
"Aaron Rodgers","NYJ","565.3","366.1","4,101.8","28.4","8.6","36.0","123.9","1.6","2.6","285.4"
"","high","612.0","381.0","4,395.0","30.8","6.0","41.2","170.8","2.0","1.3","329.3"
"","low","491.6","329.7","3,750.1","25.0","11.0","30.0","83.0","1.0","3.7","278.8"
"Russell Wilson","DEN","511.8","323.0","3,816.1","24.4","10.7","63.5","318.4","2.7","2.1","283.4"
"","high","552.5","353.2","4,013.0","27.8","8.7","66.0","359.0","4.0","0.4","321.0"
"","low","449.1","287.8","3,460.2","22.0","12.0","59.0","261.0","1.9","3.8","256.7"
"Jared Goff","DET","570.6","375.1","4,241.6","28.0","11.0","31.0","79.8","1.1","3.6","277.8"
"","high","601.2","390.1","4,448.3","30.8","7.0","35.3","87.2","1.7","1.3","326.0"
"","low","551.0","363.0","3,914.0","24.0","12.9","21.8","67.8","0.0","5.0","272.0"
"Tua Tagovailoa","MIA","523.8","342.3","4,037.3","26.9","12.1","42.3","131.9","1.6","1.8","276.3"
"","high","595.4","384.4","4,460.8","31.1","10.6","60.4","165.7","2.6","1.0","323.7"
"","low","488.7","326.0","3,886.7","23.0","14.0","32.1","95.0","1.0","3.9","252.7"
"Anthony Richardson","IND","484.1","298.1","3,155.2","17.5","13.2","128.5","568.0","4.0","2.5","258.6"
"","high","560.3","362.9","4,081.1","24.0","10.0","200.0","981.0","6.3","0.7","284.3"
"","low","432.0","259.0","2,854.0","15.0","20.0","77.0","145.0","1.5","3.8","182.9"
"Derek Carr","NO","511.0","335.3","3,936.3","23.8","11.8","34.9","118.2","0.9","2.6","253.0"
"","high","538.3","355.9","4,198.7","26.6","10.9","36.3","164.4","2.1","0.6","287.1"
"","low","493.0","318.0","3,679.0","22.2","13.0","34.0","81.7","0.0","4.2","239.7"
"Matthew Stafford","LAR","528.1","350.8","3,984.9","24.4","13.2","30.0","71.4","0.9","2.8","250.7"
"","high","559.4","372.2","4,266.4","26.5","10.6","38.3","123.3","1.3","1.0","304.5"
"","low","496.8","329.8","3,711.0","20.7","17.0","26.0","50.0","0.0","4.0","241.0"
"Kenny Pickett","PIT","503.8","318.0","3,318.4","17.5","12.5","66.8","420.6","3.6","1.5","250.6"
"","high","571.0","364.0","3,721.3","22.0","9.2","78.0","1,047.9","7.9","0.7","288.2"
"","low","397.1","233.1","2,209.1","4.9","16.0","58.8","265.4","2.0","3.1","231.6"
"Jordan Love","GB","544.1","344.0","3,811.7","23.2","14.8","43.1","166.6","1.5","2.6","250.4"
"","high","602.5","382.7","4,298.5","25.7","12.5","53.2","248.7","2.2","1.0","295.2"
"","low","499.0","314.5","3,514.2","19.7","17.8","16.0","43.0","0.0","4.8","241.0"
"Bryce Young","CAR","525.1","331.0","3,665.8","20.5","12.9","51.1","200.5","1.6","2.3","240.8"
"","high","546.9","350.5","3,880.0","23.7","10.0","73.1","284.5","2.0","0.9","269.0"
"","low","493.0","311.0","3,450.0","17.0","15.7","31.0","138.0","1.0","3.9","228.1"
"Brock Purdy","SF","436.6","285.3","3,394.5","23.6","9.9","36.6","107.7","2.0","1.4","240.2"
"","high","542.6","351.7","3,842.5","26.0","6.6","44.5","216.5","2.8","0.8","286.0"
"","low","347.3","236.6","3,049.9","19.9","12.8","27.0","35.0","1.0","2.1","222.7"
"Jimmy Garoppolo","LV","483.4","319.5","3,557.9","21.3","11.7","30.3","66.5","1.5","2.3","227.0"
"","high","576.1","381.5","3,874.8","25.6","10.1","34.2","134.8","2.0","1.0","290.2"
"","low","371.7","248.7","3,110.7","16.3","13.0","26.0","40.0","1.0","3.5","175.1"
"C.J. Stroud","HOU","519.7","326.3","3,460.3","19.7","14.2","50.4","177.8","1.5","2.5","224.4"
"","high","548.0","344.6","3,612.4","21.4","11.6","68.9","304.4","2.0","0.8","262.4"
"","low","498.0","309.0","3,325.5","17.7","18.0","33.0","109.0","1.0","3.8","216.0"
"Mac Jones","NE","492.3","321.9","3,436.3","19.1","13.2","50.6","148.9","1.2","2.1","218.8"
"","high","562.4","364.3","3,811.8","23.9","11.7","56.0","211.2","2.0","1.2","251.2"
"","low","441.7","293.8","3,080.1","14.9","17.0","47.0","118.0","0.5","3.2","170.0"
"Kyler Murray","ARI","434.4","286.3","2,798.9","14.5","9.7","79.6","424.7","3.0","1.9","216.8"
"","high","577.0","370.0","3,482.0","18.0","6.5","97.0","556.0","4.0","0.6","267.0"
"","low","340.0","224.0","2,091.2","12.5","20.0","58.8","330.3","2.0","2.9","171.7"
"Ryan Tannehill","TEN","444.2","289.1","3,217.7","18.3","10.6","40.3","159.6","2.1","2.1","216.0"
"","high","500.3","327.2","3,768.5","22.5","7.0","46.7","192.4","4.2","0.8","243.1"
"","low","385.9","254.7","2,843.5","16.0","17.0","28.0","85.0","1.0","3.1","192.9"
"Sam Howell","WAS","463.4","288.9","2,968.8","16.3","11.9","49.8","207.9","1.7","2.4","198.0"
"","high","545.6","345.9","3,691.4","22.0","8.0","65.8","296.4","2.6","0.7","247.0"
"","low","326.0","196.0","2,090.1","10.6","16.4","33.0","104.7","1.0","3.6","148.3"
"Desmond Ridder","ATL","439.3","270.7","2,923.2","16.5","10.4","39.8","172.4","1.4","3.0","192.3"
"","high","502.3","310.9","3,275.1","22.0","6.0","48.1","279.3","2.1","1.1","224.0"
"","low","391.0","241.0","2,685.0","13.0","15.3","21.0","82.0","1.0","4.0","163.8"
"Baker Mayfield","TB","457.3","280.8","2,989.7","15.9","11.4","33.8","121.3","1.1","2.1","186.4"
"","high","594.4","371.0","3,921.0","24.0","7.0","44.0","188.5","1.7","0.8","241.2"
"","low","348.3","211.0","2,360.0","11.7","16.5","21.0","72.0","0.7","3.0","139.4"
"Jacoby Brissett","WAS","206.8","120.7","1,322.8","5.5","4.3","24.5","95.3","0.8","1.8","81.3"
"","high","385.3","208.1","1,901.5","9.4","2.7","40.4","150.9","1.6","0.7","134.3"
"","low","79.0","49.0","519.0","1.8","5.9","9.0","35.0","0.0","4.4","25.0"
"Colt McCoy","ARI","179.1","116.2","1,259.8","4.9","4.8","18.7","62.4","0.5","1.1","72.2"
"","high","251.0","164.6","1,854.8","8.8","2.0","38.5","100.1","1.0","0.0","119.7"
"","low","59.0","36.0","336.0","0.9","7.0","6.0","20.0","0.0","2.2","13.0"
"Kyle Trask","TB","201.1","121.1","1,231.4","5.6","6.1","17.2","46.8","0.2","1.1","69.3"
"","high","240.2","152.5","1,602.6","8.2","3.0","31.8","75.0","0.6","0.0","99.4"
"","low","148.0","88.0","833.0","1.7","9.7","5.0","14.0","0.0","2.1","39.6"
"Will Levis","TEN","143.7","89.0","1,027.8","4.2","4.7","18.3","60.7","0.3","0.9","59.4"
"","high","339.5","209.6","2,121.5","7.3","2.0","46.0","120.0","0.9","0.0","93.6"
"","low","49.0","31.0","343.0","2.0","8.6","0.0","2.0","0.0","2.5","13.0"
"Trey Lance","SF","126.6","78.1","799.9","3.0","3.5","23.1","93.8","0.6","0.9","51.7"
"","high","346.3","213.8","2,240.2","6.0","0.0","60.0","212.9","1.0","0.0","111.6"
"","low","4.0","3.0","31.0","0.0","10.9","1.0","5.0","0.0","2.7","0.0"
"Gardner Minshew II","IND","99.0","62.4","826.6","3.3","2.7","15.2","51.9","0.2","1.6","46.7"
"","high","238.1","149.2","1,710.8","7.5","1.0","33.2","111.1","0.7","0.6","85.3"
"","low","20.0","13.0","128.0","1.0","4.9","5.0","20.0","0.0","4.0","5.0"
"Brian Hoyer","LV","97.9","59.4","747.2","4.0","4.0","10.4","32.8","0.2","0.8","45.2"
"","high","123.1","70.4","1,242.5","6.5","2.0","26.7","72.2","0.8","0.0","77.8"
"","low","76.0","46.0","522.0","1.3","8.2","3.0","7.0","0.0","1.8","16.2"
"Taylor Heinicke","ATL","99.2","60.7","713.8","3.9","4.0","18.1","51.4","0.2","1.2","43.8"
"","high","132.1","74.8","856.4","6.0","1.0","30.3","83.6","0.5","0.1","67.7"
"","low","41.0","26.0","294.0","2.0","8.5","6.0","26.0","0.0","2.7","13.0"
"Mike White","MIA","94.6","56.6","608.1","2.8","3.7","12.6","20.4","0.1","0.6","33.0"
"","high","185.7","107.4","975.9","4.0","2.0","29.4","50.2","0.3","0.0","41.5"
"","low","57.0","35.0","431.0","1.4","9.0","3.0","5.0","0.0","2.0","18.0"
"Sam Darnold","SF","119.1","69.0","579.6","2.3","3.6","15.0","42.4","0.1","1.0","31.3"
"","high","347.6","195.1","1,891.6","4.0","0.3","44.8","145.1","0.3","0.0","71.4"
"","low","28.7","18.1","47.9","0.2","13.7","3.3","0.2","0.0","3.8","2.5"
"Bailey Zappe","NE","100.2","61.0","598.9","2.4","3.6","12.0","22.4","0.1","1.1","30.8"
"","high","185.7","107.4","975.9","4.0","1.0","29.4","50.2","0.3","0.2","48.3"
"","low","21.0","13.0","135.0","1.0","9.0","4.0","4.0","0.0","2.0","4.0"
"Clayton Tune","ARI","137.7","81.7","765.1","0.0","5.8","23.7","51.1","0.2","1.7","27.7"
"","high","137.7","81.7","765.1","0.0","5.8","23.7","51.1","0.2","1.7","23.4"
"","low","137.7","81.7","765.1","0.0","5.8","23.7","51.1","0.2","1.7","23.4"
"Davis Mills","HOU","84.7","49.6","521.6","1.7","4.0","14.5","31.5","0.2","0.6","26.9"
"","high","165.9","92.4","820.7","3.3","1.0","33.0","61.6","0.5","0.0","40.8"
"","low","22.0","14.0","138.0","0.0","10.7","5.0","18.0","0.0","1.8","7.0"
"Nate Sudfeld","DET","0.0","0.0","383.8","1.7","1.9","0.0","26.5","0.5","0.5","24.9"
"","high","0.0","0.0","383.8","1.7","1.9","0.0","26.5","0.5","0.5","24.1"
"","low","0.0","0.0","383.8","1.7","1.9","0.0","26.5","0.5","0.5","24.1"
"Tyrod Taylor","NYG","40.0","25.8","277.4","2.0","1.3","14.1","57.7","0.2","0.3","24.4"
"","high","67.0","41.9","454.9","3.3","0.0","28.7","139.1","0.5","0.0","24.7"
"","low","21.0","14.0","136.0","1.0","1.8","5.0","22.0","0.0","0.6","9.0"
"Marcus Mariota","PHI","54.7","34.3","329.7","1.6","1.2","15.4","49.1","0.3","0.4","24.0"
"","high","77.0","49.4","465.8","3.4","0.0","35.3","103.1","1.0","0.0","36.5"
"","low","21.0","14.0","144.5","0.0","2.9","6.0","5.7","0.0","0.8","9.0"
"Andy Dalton","CAR","67.5","41.9","421.6","2.0","2.4","7.4","15.9","0.1","0.4","23.5"
"","high","133.2","80.7","712.7","2.5","1.0","18.0","30.5","0.2","0.0","26.5"
"","low","21.0","13.0","153.0","1.0","6.7","2.0","5.0","0.0","1.2","7.0"
"Brett Rypien","LAR","82.2","46.6","489.6","1.9","5.7","25.7","26.8","0.1","1.0","23.1"
"","high","82.2","46.6","571.3","2.6","3.8","25.7","39.1","0.3","0.2","29.3"
"","low","82.2","46.6","407.9","1.3","7.6","25.7","14.5","0.0","1.7","9.0"
"Tyler Huntley","BAL","52.2","32.7","310.4","1.4","1.4","19.8","59.5","0.2","0.5","22.6"
"","high","77.6","46.4","392.7","2.7","1.0","48.9","144.6","0.5","0.0","30.1"
"","low","22.0","13.0","151.0","0.0","1.8","5.0","25.0","0.0","1.1","7.0"
"Mitch Trubisky","PIT","56.9","37.3","349.5","1.6","1.7","8.2","24.6","0.2","0.2","22.0"
"","high","77.0","47.0","525.0","3.0","1.0","15.5","32.8","0.5","0.0","40.7"
"","low","23.0","15.0","148.0","0.0","2.6","5.0","19.0","0.0","0.5","7.0"
"Jarrett Stidham","DEN","60.3","34.4","350.4","2.3","2.1","5.3","11.1","0.1","0.4","21.8"
"","high","121.7","60.6","622.6","4.0","0.0","10.9","21.0","0.2","0.0","40.1"
"","low","22.0","14.0","164.0","0.8","7.0","3.0","5.3","0.0","0.9","9.0"
"P.J. Walker","CHI","85.6","43.5","368.6","1.8","4.0","9.9","21.6","0.1","0.4","19.9"
"","high","153.4","68.5","576.4","3.0","1.6","21.9","52.8","0.3","0.0","18.0"
"","low","42.0","25.0","190.3","0.6","10.4","2.0","0.6","0.0","1.0","8.4"
"Blaine Gabbert","KC","51.9","30.5","337.4","1.7","2.6","11.2","21.2","0.1","0.5","19.3"
"","high","90.7","51.5","453.0","2.3","0.0","26.5","40.8","0.3","0.0","27.3"
"","low","26.0","16.0","180.0","1.0","7.8","3.0","8.2","0.0","1.7","8.0"
"Jameis Winston","NO","38.0","26.2","321.6","1.5","1.4","4.6","9.4","0.2","0.2","19.2"
"","high","56.0","39.3","623.7","2.8","0.0","5.0","19.0","0.5","0.0","28.9"
"","low","20.0","13.0","156.0","0.7","3.1","4.1","2.8","0.0","0.5","9.0"
"Sean Clifford","GB","43.4","27.0","333.7","1.6","2.5","8.3","19.1","0.2","0.5","19.1"
"","high","66.9","43.4","497.1","2.9","1.0","18.1","36.1","0.4","0.0","27.2"
"","low","16.0","10.0","113.0","0.0","4.8","1.0","4.0","0.0","1.4","5.4"
"Nick Mullens","MIN","45.8","34.4","337.5","1.9","2.1","5.0","8.7","0.1","0.7","19.0"
"","high","74.0","61.0","463.1","2.6","1.0","9.0","16.0","0.2","0.2","26.1"
"","low","26.0","18.0","189.0","1.0","3.9","2.0","5.0","0.0","1.3","4.0"
"Joshua Dobbs","CLE","54.7","32.5","337.2","1.5","2.6","10.7","27.2","0.1","0.6","19.0"
"","high","111.0","63.4","561.6","2.0","0.9","27.0","42.5","0.3","0.0","28.6"
"","low","23.0","14.0","159.0","1.0","8.0","4.8","20.3","0.0","1.8","7.0"
"Zach Wilson","NYJ","94.2","52.6","480.1","0.8","5.2","5.4","13.5","0.2","0.5","18.6"
"","high","154.7","84.2","865.5","1.6","0.8","8.2","28.6","0.2","0.1","20.4"
"","low","33.7","21.0","227.9","0.0","13.5","2.6","0.6","0.1","1.4","17.4"
"Drew Lock","SEA","52.9","29.0","327.8","1.5","2.7","6.0","16.9","0.1","0.5","17.9"
"","high","103.2","50.6","569.7","1.9","0.9","10.3","18.0","0.3","0.0","21.4"
"","low","22.0","15.0","163.0","1.0","7.2","3.6","15.6","0.0","1.7","7.0"
"Easton Stick","LAC","60.4","35.4","327.0","1.6","3.5","14.8","20.0","0.2","0.7","17.6"
"","high","82.2","46.6","407.9","1.9","1.0","25.7","39.1","0.4","0.1","18.6"
"","low","38.6","24.3","257.3","1.3","7.6","4.0","5.0","0.0","1.7","9.0"
"Stetson Bennett","LAR","64.8","40.3","337.0","1.1","1.7","8.5","17.6","0.1","0.5","17.6"
"","high","112.8","66.6","618.2","2.6","0.0","21.7","45.6","0.2","0.0","28.7"
"","low","16.0","11.0","51.4","0.0","5.5","1.0","0.3","0.0","1.6","2.5"
"C.J. Beathard","JAC","49.7","29.0","313.5","1.5","2.9","11.4","19.6","0.1","0.5","17.1"
"","high","90.7","51.5","453.0","1.9","0.7","26.5","40.8","0.3","0.0","25.0"
"","low","24.0","14.0","145.0","1.0","7.8","3.7","5.0","0.0","1.7","6.0"
"Cooper Rush","DAL","31.9","19.7","250.5","1.5","1.1","2.9","6.6","0.1","0.2","15.6"
"","high","41.0","26.5","361.4","1.8","0.8","5.0","11.3","0.2","0.0","19.7"
"","low","23.0","13.0","147.0","1.0","1.5","0.0","0.0","0.0","0.3","6.0"
"David Blough","ARI","84.6","49.3","341.0","1.3","3.9","16.4","21.6","0.0","0.9","15.2"
"","high","87.0","52.0","494.0","2.0","1.0","25.7","39.1","0.1","0.1","18.0"
"","low","82.2","46.6","121.1","0.5","7.6","7.0","0.6","0.0","1.7","5.4"
"Kyle Allen","BUF","61.1","37.9","409.1","1.2","5.2","10.3","25.6","0.2","2.3","15.0"
"","high","99.2","61.7","654.1","1.4","1.0","18.6","39.1","0.3","0.0","13.6"
"","low","23.0","14.0","164.0","1.0","9.3","2.0","12.0","0.0","4.5","6.0"
"Hendon Hooker","DET","59.8","36.2","270.5","0.7","1.7","9.4","19.6","0.1","0.5","13.7"
"","high","130.4","77.2","720.8","1.7","0.0","22.7","48.7","0.3","0.0","21.6"
"","low","18.0","12.0","20.6","0.0","5.7","1.0","0.4","0.0","1.6","1.2"
"Matt Corral","CAR","76.7","44.9","411.6","0.0","5.1","19.4","39.5","0.2","1.5","13.5"
"","high","76.7","44.9","411.6","0.0","5.1","19.4","39.5","0.2","1.5","10.8"
"","low","76.7","44.9","411.6","0.0","5.1","19.4","39.5","0.2","1.5","10.8"
"Trevor Siemian","CIN","31.6","20.3","198.2","1.2","1.0","3.5","8.5","0.1","0.1","12.9"
"","high","38.2","23.7","242.0","1.9","0.9","4.1","14.2","0.2","0.0","8.7"
"","low","25.0","17.0","171.7","0.6","1.1","3.0","0.2","0.0","0.3","6.0"
"Aidan O'Connell","LV","61.7","36.5","281.4","0.5","2.1","10.8","16.9","0.1","0.6","12.5"
"","high","105.3","62.0","573.8","1.0","0.0","20.6","43.1","0.2","0.0","16.2"
"","low","18.0","11.0","132.0","0.0","5.4","1.0","3.7","0.0","1.6","7.6"
"Malik Willis","TEN","79.6","45.5","308.2","0.5","3.3","16.1","21.9","0.0","0.6","12.1"
"","high","139.2","79.9","715.8","1.3","0.6","28.2","45.7","0.1","0.0","19.8"
"","low","20.0","11.0","82.9","0.0","8.4","4.0","1.1","0.0","1.8","1.0"
"Case Keenum","HOU","156.3","80.6","315.1","0.3","1.6","18.6","1.5","0.0","1.1","10.1"
"","high","156.3","80.6","593.7","0.4","0.1","18.6","3.0","0.0","0.0","15.3"
"","low","156.3","80.6","36.5","0.1","3.1","18.6","0.1","0.0","2.1","1.8"
"Max Duggan","LAC","21.0","14.0","144.0","1.0","0.0","1.0","3.0","0.0","0.0","10.1"
"","high","21.0","14.0","144.0","1.0","0.0","1.0","3.0","0.0","0.0","8.0"
"","low","21.0","14.0","144.0","1.0","0.0","1.0","3.0","0.0","0.0","8.0"
"Jaren Hall","MIN","20.0","13.0","141.0","1.0","0.0","1.0","3.0","0.0","0.0","9.9"
"","high","20.0","13.0","141.0","1.0","0.0","1.0","3.0","0.0","0.0","8.0"
"","low","20.0","13.0","141.0","1.0","0.0","1.0","3.0","0.0","0.0","8.0"
"Tanner McKee","PHI","16.0","10.0","120.0","1.0","0.0","1.0","6.0","0.0","0.0","9.4"
"","high","16.0","10.0","120.0","1.0","0.0","1.0","6.0","0.0","0.0","8.0"
"","low","16.0","10.0","120.0","1.0","0.0","1.0","6.0","0.0","0.0","8.0"
"Skylar Thompson","MIA","90.7","51.5","243.7","0.7","4.0","26.5","20.4","0.0","0.9","9.1"
"","high","90.7","51.5","453.0","1.3","0.3","26.5","40.8","0.0","0.0","10.8"
"","low","90.7","51.5","34.5","0.2","7.8","26.5","0.1","0.0","1.7","1.8"
"Jake Haener","NO","15.0","10.0","117.0","1.0","0.0","1.0","4.0","0.0","0.0","9.1"
"","high","15.0","10.0","117.0","1.0","0.0","1.0","4.0","0.0","0.0","8.0"
"","low","15.0","10.0","117.0","1.0","0.0","1.0","4.0","0.0","0.0","8.0"
"Matt Barkley","BUF","0.0","0.0","178.4","0.5","1.3","0.0","0.0","0.1","0.1","8.4"
"","high","0.0","0.0","178.4","0.5","1.3","0.0","0.0","0.1","0.1","7.9"
"","low","0.0","0.0","178.4","0.5","1.3","0.0","0.0","0.1","0.1","7.9"
"Dorian Thompson-Robinson","CLE","17.0","11.0","119.0","1.0","1.0","1.0","4.0","0.0","0.0","8.2"
"","high","17.0","11.0","119.0","1.0","1.0","1.0","4.0","0.0","0.0","6.0"
"","low","17.0","11.0","119.0","1.0","1.0","1.0","4.0","0.0","0.0","6.0"
"Mason Rudolph","PIT","10.0","7.0","28.2","0.6","0.5","17.1","11.2","0.0","0.0","4.1"
"","high","10.0","7.0","40.7","1.1","0.1","17.1","22.4","0.0","0.0","1.7"
"","low","10.0","7.0","15.7","0.1","0.8","17.1","0.0","0.0","0.0","0.8"
"Tommy DeVito","NYG","0.0","0.0","23.1","0.1","0.1","0.0","0.1","0.0","0.0","1.3"
"","high","0.0","0.0","23.1","0.1","0.1","0.0","0.1","0.0","0.0","1.3"
"","low","0.0","0.0","23.1","0.1","0.1","0.0","0.1","0.0","0.0","1.3"
"Danny Etling","GB","0.0","0.0","18.8","0.1","0.1","0.0","0.0","0.0","0.0","1.2"
"","high","0.0","0.0","18.8","0.1","0.1","0.0","0.0","0.0","0.0","1.1"
"","low","0.0","0.0","18.8","0.1","0.1","0.0","0.0","0.0","0.0","1.1"
"Feleipe Franks","ATL","0.0","0.0","0.0","0.0","0.0","4.0","11.0","0.0","0.0","1.1"
"","high","0.0","0.0","0.0","0.0","0.0","4.0","11.0","0.0","0.0","2.0"
"","low","0.0","0.0","0.0","0.0","0.0","4.0","11.0","0.0","0.0","2.0"
"Shane Buechele","KC","0.0","0.0","16.8","0.1","0.1","0.0","0.1","0.0","0.0","1.0"
"","high","0.0","0.0","16.8","0.1","0.1","0.0","0.1","0.0","0.0","1.0"
"","low","0.0","0.0","16.8","0.1","0.1","0.0","0.1","0.0","0.0","1.0"
"Will Grier","DAL","0.0","0.0","9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.4"
"","high","0.0","0.0","9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.4"
""
""